claim_id,status,scope,statement_source
E993-UNIV-TREE-TRS2,REFUTED,all finite trees; universal,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-UNIV-TREE-TRS2
E993-TREE-REAL-ROOTED,REFUTED,all finite trees; universal,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-TREE-REAL-ROOTED
E993-EXISTS-TREE-NEG-ADJ-MINOR,VERIFIED,existential; exact finite witness,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-EXISTS-TREE-NEG-ADJ-MINOR
E993-TRS2-IFF-ALC,VERIFIED,abstract NNSeq with positive interval support; governed Lean theorem trs2_iff_adjacentLogConcave (r8),proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-TRS2-IFF-ALC
E993-TRS2-CONVOLUTION-CLOSURE,VERIFIED,abstract NNSeq; governed Lean theorem (r8),proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-TRS2-CONVOLUTION-CLOSURE
E993-TGT-TREE,OPEN,all finite nonempty trees; the conjecture's TREE headline,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-TGT-TREE
E993-TGT-FOREST,OPEN,all finite forests including the empty forest; the conjecture's FOREST headline,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-TGT-FOREST
E993-TGT-TRANSFER,OPEN,the reshaped transfer question; universal,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-TGT-TRANSFER
E993-EXISTS-COUNTEREXAMPLE,OPEN,existence; any order,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-EXISTS-COUNTEREXAMPLE
E993-THEOREM-A,OPEN,universal; THEOREM (A) of the corridor program,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-THEOREM-A
E993-THEOREM-B,OPEN,universal; leaf crossing-shift,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-THEOREM-B
E993-ALPHA-TARGET,OPEN,universal at k_A = 1; (α),proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-ALPHA-TARGET
E993-BETA-TARGET,REFUTED,universal at k_A >= 2; (β),proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-BETA-TARGET
E993-AMBIENT-TARGET-DEG2,OPEN,universal on the deg(s)=2 stratum; equivalent to (α) there via the governed r12 reduction,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-AMBIENT-TARGET-DEG2
E993-C13-I4-GT-I3,VERIFIED,universal for order >= 12,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-C13-I4-GT-I3
E993-COMP-AB,VERIFIED,a governed implication; neither hypothesis asserted,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-COMP-AB
E993-TRANSFER-TO-FOREST,CONDITIONAL,conditional; the universal antecedent is REFUTED (E993-UNIV-TREE-TRS2),proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-TRANSFER-TO-FOREST
E993-P1-NNSEQ,VERIFIED,abstract NNSeq scope,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-P1-NNSEQ
E993-BAND-THEOREM,VERIFIED,universal on the band; premise-free,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-BAND-THEOREM
E993-STRICT-UNITS,OPEN,"universal; OB-G1/OB-G2, the S3 endpoint units",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-STRICT-UNITS
E993-PAIR-G4,OPEN,"universal; OB-PAIR-G4/OB-G3, the decisive S4 gap",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-G4
E993-CAND-R18C1T1-3,OPEN,"G2 ∧ |U| >= 2p-2, deg(s)=2 stratum; fireability criterion deg_T(z_j) >= e+t+2-j attached; both named killers fire (92.0%/2.0%)",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-CAND-R18C1T1-3
E993-CAND-R18C1T1-1,REFUTED,"as printed in R18C1-T1 §4; mechanism claim, never a target claim",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-CAND-R18C1T1-1
E993-L0-CONV-DELTA,VERIFIED,"any nonnegative sequences f,g, any rank r; product-side; does not prove, approach, or narrow HG2",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-L0-CONV-DELTA
E993-PT-BOUND,VERIFIED,"premise-free; beta_t = P_t in 12,806/12,806 premise-holding evaluations; dominated gap to D is unbounded (beta_t/D = p/2)",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PT-BOUND
E993-CHOOSE-DELTA-POS,VERIFIED,Mathlib-tier arithmetic; NOT a fact about HG2,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-CHOOSE-DELTA-POS
E993-BF-1,VERIFIED,"exact, not pessimism; witnessed (order-11 row i_{p-1}(U)=18)",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-BF-1
E993-BF-2,VERIFIED,"binding on every (|U|, i_j(U))-only refinement",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-BF-2
E993-BF-3,OPEN,design brief of record for the fifth representation layer; sequence-shape and root-state-recursion continuations stay refused (F1/F2; reserved I/A/B zone),proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-BF-3
E993-EXCHANGE-LEMMA,VERIFIED,"any tree, deg(s)=2 stratum, any t, any k_shell; premise-free combinatorial criterion",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-EXCHANGE-LEMMA
E993-BF2-EVERY-E,VERIFIED,"generalizes E993-BF-2's m = 2p-2 (e=0) registered scope to every shell offset; the vocabulary obstruction deepens, never relaxes, with e",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-BF2-EVERY-E
E993-QUADRATIC-FLOOR,VERIFIED,"deg_T(s)=2 stratum, any t, any k_shell; NO confinement claim; NO R-20/GATE-2 relevance (bounds the J_1-empty case, not the J_0-nonempty firing case); symbols: k_shell := |U| - (2p-2), Rem_j branch remnants, C2 route numbering",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-QUADRATIC-FLOOR
E993-EXCHANGE-LEMMA-SEQ,VERIFIED,"abstract sequences ONLY — severed from the tree-bound parent E993-EXCHANGE-LEMMA (n : N free; z, Rem unconstrained; no instance antecedents); hr StrictAnti load-bearing, hd inert (MUT-hd); the counting-form <=> sorted-domination step is kernel-checked by NO ONE",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-EXCHANGE-LEMMA-SEQ
E993-BETA-AGG,OPEN,universal favorable-leaf aggregate on the governed RTree model; all p >= x(T)+2; individual positive margins are permitted; this is not the refuted pointwise (beta) claim and cannot be presented as a reopening of E993-BETA-TARGET,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-BETA-AGG
E993-BETA-AGG-SUPPORT,REFUTED,universal per-support favorable-leaf aggregate on the governed RTree model; distinct from both the global aggregate E993-BETA-AGG and the refuted pointwise E993-BETA-TARGET,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-BETA-AGG-SUPPORT
E993-CERT-WINDOW-LB,VERIFIED,all finite trees; the comonotone mode-centred box certificate attains S(T) exactly (optimality proved),proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-CERT-WINDOW-LB
E993-LAMBDA2-CONJ,OPEN,"all finite trees; MEASURED CONJECTURE, not a theorem",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-LAMBDA2-CONJ
E993-PAIR-WINDOW-THM,VERIFIED,general sum algebra on the stated domain; single recursion step only — says nothing about iterated closure,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-WINDOW-THM
E993-PAIR-PHISTAR,VERIFIED,the predicate Phi* and its soundness at the stated domain; the CANDIDATE aspect lives entirely in E993-PAIR-PHISTAR-CLOSURE,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-PHISTAR
E993-PAIR-PHISTAR-CLOSURE,OPEN,"all finite forests with an edge; TARGET-IMPLYING (proving it proves FOREST hence TREE); strictly weaker than the full motion conjecture (implied by C1's delta_f conjunct); NOT known to be implied by the target — a genuine intermediate. Falsification signature: a forest where EVERY leaf fails the bound (a mechanism kill of Phi*-closure, never itself a target event)",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-PHISTAR-CLOSURE
E993-PAIR-MODE-GAP,OPEN,"MEASURED, NOT PROVED — may not be cited as progress on anything",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-MODE-GAP
E993-PAIR-C1-IMPLIES-TARGET,VERIFIED,the IMPLICATION and the bridge fact; the antecedent (C1 universally) is OPEN and may not be cited as established,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-C1-IMPLIES-TARGET
E993-PAIR-ALLLEAF-WINDOW,OPEN,"MEASURED ONLY — exhaustive orders <= 17 (294,178 forests cumulative, 2,337,444 leaf instances, 0 failures; extended by CRIT-T1-F) + 25.4M constructed polynomials; implies E993-PAIR-PHISTAR-CLOSURE; min-working-leaves=2 excluded as a path-family artifact",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-ALLLEAF-WINDOW
E993-PAIR-LEAFDRIFT-01,OPEN,"MEASURED ONLY — 36.6M instances to order 26 (ADJ-F/CRIT-F2-T amplified populations), opposite-shift adversarial family proved EMPTY at scope; SPLIT: delta_f <= 1 IS the OPEN antecedent of E993-PAIR-C1-IMPLIES-TARGET (target-implying); delta_f >= 0 is discharged by E993-PAIR-MODE-NR conditional on s <= 1",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-LEAFDRIFT-01
E993-PAIR-MODE-NR,VERIFIED,general sum algebra at the stated domain; reduction live for TREES only (s-hypothesis unmet on part of the forest face),proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-MODE-NR
E993-PAIR-MODE-D1,VERIFIED,"general sum algebra; REDUCTION-REFUTED NOTE ON THE FACE: the hypothesis s >= 0 is FALSE on the 669 realizable s=-1 pairs (orders <= 14), so this theorem contributes nothing to delta_f <= 1 on that stratum",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-MODE-D1
E993-PAIR-PLATEAU-LE1,OPEN,"MEASURED ONLY — exhaustive orders <= 17 + 25.4M constructed polynomials, 0 exceptions (CRIT-T1-F barrier hunt)",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PAIR-PLATEAU-LE1
