value,pinned_value,verification_level,canonical_row,note
Master claim-registry pin,"80 claims, sha256 b57e79908202edd19cfb165b9f9da00d6f3767dc729126cfce5c9747556c1a94",receipt,R23B-C5-U1-01,"Re-verified with no movement / no INTAKE event through C5 close (cross-checked here against RUN-STATE.json's independently-recorded pin, byte match confirmed by this instrument, not typed from memory)."
"CB(8,92) whole-row aggregate","n=1567, x=490, p=492 (governed), 737 favourable leaves, S negative at 351 digits, identity S = g_arm + 736*g_u exact",exact computation,R23B-C5-F3-04,Canonical registration per SYNTHESIS.md Sec.2.3(a); R23B-C5-T1-06/-U1-06/-U2-01 cite this row for the digit figures rather than re-registering them.
"g_arm (CB(8,92) arm gap)","347 digits, positive: C(736,491)*2^491 - C(736,490)*2^490",kernel,R23B-C5-T3-01,"witness_g_arm_pos is kernel-checked, sorryAx-free, native_decide-free -- WITH A BINDING FENCE carried forward: this kernel fact is the Nat.choose inequality at (736,490/491); it is NOT itself a kernel-checked g_arm>0 statement for CB(8,92) and must not be cited as such."
"g_u (CB(8,92) per-u-leaf gap)","349 digits, negative (head -101753030276138..., tail ...536775447420)",receipt,control/c5-registrar-gu-receipt.json,"Registrar resolution of a real inter-portfolio numeric contradiction (SYNTHESIS.md Sec.2.3(b)): F3-04/U1-06 correct at 349 digits; U2-01's shipped 350 is SUPERSEDED and corrected of record. Method: exact divisibility, S=g_arm+736*g_u, from two independently sealed C4-F1 evidence files."
"|C_p(arm)| and |C_{p-1}(arm)| (CB(8,92))",350 digits each,receipt,R23B-C5-U2-06,Duty-22 registrar figure of record; U2-06 corrects the shipped matrix's earlier '347' at this specific field. Cite this figure; do not recompute.
Stage-3 envelope figure of record,6197,receipt,R23B-C5-U3-03,[gate-install fill per ADJ-U MAJOR: regex line-wrap dropped this duty-22 figure; 6197 is the figure of record] Pruned-scope qualified (mandatory qualifier): NOT a whole-run-root count. Three instrument defects were disclosed on the producing row's own face; the integer itself is retained_narrowed.
Order-91 (T22) decisive-event aggregate,"p=34, 67 favourable leaves, S = -498754180547001418536",exact computation,R23B-C3-F1-01 (originating: R23-C2-10; SEMANTIC-CONTRACT A2.2 fence),"Controller-verified digit-exact; reproduced across independently-written instruments in multiple cycles (Codex-era, a from-scratch DP, a from-scratch closed-form, and the C3-F1 mixed-cut analysis). No ordinal is registered for the reproduction count (duty 17); this row states WHAT was reproduced (the full aggregate) and AT WHAT LEVEL (digit-exact, independent instruments), never a count of how many times."
T16 witness (order-16 minimal obstruction),"n=16, x=5, p=7, P=2255, N=3945, S=-1690, def(F)=-1666",exact computation,R23B-C3-T5-07 (values carried at R23B-C5-U2-03),"Minimality established by two independent exhaustive sweeps over all free trees orders 4-15 (13,185 trees). CARRIED CRITICAL, disclosed here per duty 18: R23B-C5-U2-03's 'independence certification' for these same integers was REJECTED (instrument_u2.py's match check read a compile-time constant, not a sealed byte) -- the four integers themselves are correct and were independently read from the sealed source by both C5 critics; only the independence CERTIFICATION is void, not the values. This is the C5-U2 constant-folded-receipt lesson this seat's own instruments were built to avoid."
Corrected CB-arm hotness (ratio) criterion,"g_arm > 0 iff 2(jk-p+2) > p-1, equivalently 2*C(jk,p-1) > C(jk,p-2)",sorry-free lemma,"R23B-C5-F2-01 (arithmetic criterion); R23B-C5-T3-02 (Lean derivation, side conditions 2<=r<=m disclosed)","Route-distinctness tier only (SYNTHESIS.md Sec.2.3(e)), not N causally independent discoveries -- both seats had chartered read access to sealed C4 artifacts already carrying the correct form. The charter's PRINTED form 2(jk-p+1)>p-1 is FALSE at this run's own headline witness and is superseded, controller-owned (R23B-C5-F2-02); it is not a pinned value and must not be cited as one."
Relation-family transport lemma union,"297 non-internal constants, sorryAx = 0, extra axioms 0, graph-general (no IsTree hypothesis)",sorry-free lemma,R23B-C5-T2-01,Reproduced byte-identically by two critic seats on structurally different instruments; duty-8 mutant fires on exactly the named declarations. Registrable scope is narrower than 'the residual is closed' -- remainders R-1..R-5 travel with this row (see TERMINAL-LEDGER.csv supersession appendix).
Grand-merge Lean union (C4 close),"181 non-internal constants, sorryAx = 0",sorry-free lemma,R23B-C4-T1-01,"Reproduced byte-identically by both C4 critics on genuinely different build instruments (8667 jobs); HallCondition occurs only as hypothesis, never asserted (A2.2 fence swept clean)."
