occurrence_id,cycle,claim_id,original_proposed_status,original_statement,original_scope,classification,registered_exact_key,terminal_registry_status,terminal_overlay,evidence_grade,source_return,json_pointer,scope_note
C1-SYNTHESIS:00:C1-CF-T2-TARGETED-T22-RANK,1,C1-CF-T2-TARGETED-T22-RANK,proposed_retained_narrowed,"T22 at p=66 has S=-147807, and the directed 123-row probe has 94 eligible rows without a positive eligible local term or complete sum.",Exact T22 and stated finite probe only; three positive local probe rows are ineligible.,finite_evidence,,NO_EXACT_KEY,source_grade_preserved_no_new_award,bounded_computation_as_reported,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/0,
C1-SYNTHESIS:01:C1-CF-T3-01,1,C1-CF-T3-01,proposed_retained,"For T_m with m>=1, all 3m+1 original tags are favorable at p=3m and S=-(9m/2)(3m^2+2m-3)<0.",One explicit family; target eligibility holds for m>=2 through the AF argument.,restricted_family_theorem,,NO_EXACT_KEY,source_grade_preserved_no_new_award,proved_informal_restricted_family,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/1,
C1-SYNTHESIS:02:C1-CF-U2-ELIGIBLE-MIXED-TAGS,1,C1-CF-U2-ELIGIBLE-MIXED-TAGS,proposed_retained,"The specified 12-vertex eligible tree has one selected non-residual leaf and six selected residual leaves, with S=-203.","One finite graph at alpha=8, x=4, p=6.",finite_evidence,,NO_EXACT_KEY,source_grade_preserved_no_new_award,bounded_computation_as_reported,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/2,
C1-SYNTHESIS:03:C1-CT-F1-001,1,C1-CT-F1-001,proposed_retained,"Every T_m with m>=2 is eligible at p=3m, all original leaves are favorable, and S<0.",Restricted one-parameter family only.,restricted_family_theorem,,NO_EXACT_KEY,source_grade_preserved_no_new_award,proved_informal_restricted_family,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/3,
C1-SYNTHESIS:04:C1-CT-F2-FAMILY-SIGN,1,C1-CT-F2-FAMILY-SIGN,proposed_retained_narrowed,"Every T_m with m>=2 is eligible and has S=-(9m/2)(3m^2+2m-3)<0, using g_star=3-3m-binomial(3m,2).",Restricted family; the printed 3-6m arm term in AF RETURN is excluded as false.,restricted_family_theorem,,NO_EXACT_KEY,source_grade_preserved_no_new_award,proved_informal_restricted_family,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/4,"Corrected star term 3-3m-C(3m,2); the printed 3-6m term is false."
C1-SYNTHESIS:05:C1-CT-F3-01,1,C1-CT-F3-01,proposed_retained,"For a pendant vertex, I(T-v)=I(H)+zI(R), Delta_p(T-v)=Delta_p(H)+Delta_(p-1)(R), and g=i_(p+1)(H)-i_(p-1)(H)-Delta_p(T-v).",Exact finite-graph identity at all integer ranks; no sign consequence.,unregistered_auxiliary_identity,,NO_EXACT_KEY,source_grade_preserved_no_new_award,proved_informal_identity,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/5,
C1-SYNTHESIS:06:C1-CT-U2-T-FAMILY-FIRST-INTERIOR,1,C1-CT-U2-T-FAMILY-FIRST-INTERIOR,proposed_retained,The explicit T_m family has all tags favorable and S=-(9m/2)(3m^2+2m-3)<0 at p=3m.,Family only; eligibility separately established for m>=2.,restricted_family_theorem,,NO_EXACT_KEY,source_grade_preserved_no_new_award,proved_informal_restricted_family,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/6,
C1-SYNTHESIS:07:C1-CU-F1-001,1,C1-CU-F1-001,proposed_retained,"For T_m with m>=1, alpha=3m+2, all original tags are favorable at p=3m, and S=-n(n^2+2n-9)/2<0 for n=3m.",Family formula; m=1 is ineligible and eligible target instances start at m=2.,restricted_family_theorem,,NO_EXACT_KEY,source_grade_preserved_no_new_award,proved_informal_restricted_family,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/7,m=1 is ineligible; target-eligible family starts at m>=2.
C1-SYNTHESIS:08:C1-CU-T1-INDEPENDENT-FINITE-REPLAY,1,C1-CU-T1-INDEPENDENT-FINITE-REPLAY,proposed_retained,P60 has S=-331702 and T60 has S=-2947590 at their eligible alpha-minus-two ranks.,Exactly two finite tree instances.,finite_evidence,,NO_EXACT_KEY,source_grade_preserved_no_new_award,bounded_computation_as_reported,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/8,
C1-SYNTHESIS:09:C1-CU-T3-01,1,C1-CU-T3-01,proposed_retained,"For the same T_m family, all 3m+1 original tags are favorable and S=-(9m/2)(3m^2+2m-3)<0.","Same restricted family, not a second all-tree theorem.",restricted_family_theorem,,NO_EXACT_KEY,source_grade_preserved_no_new_award,proved_informal_restricted_family,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/9,
C1-SYNTHESIS:10:C1-F1-001,1,C1-F1-001,proposed_retained,"At T22 rank 34, a favorable marked leaf has positive term 212336130412243110, while the complete sum is -498754180547001418536.",Broader-rank pointwise obstruction; frozen target rank for T22 is 66.,finite_evidence,,NO_EXACT_KEY,source_grade_preserved_no_new_award,bounded_computation_as_reported,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/10,"Positive local term occurs at T22 p=34, while target p=66; the complete p=34 sum is negative. No ordinary-to-governed-RTree identity assumed."
C1-SYNTHESIS:11:C1-F1-002,1,C1-F1-002,proposed_unresolved,The primary all-eligible-tree alpha-minus-two complete-sum inequality remains open; T22 and T60 are negative and 280392 labeled trees of orders 2..8 have no eligible members.,Unrestricted primary status plus stated finite census only.,historical_status_report,,NO_EXACT_KEY,source_grade_preserved_no_new_award,unresolved_at_C1_plus_bounded_computation,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/11,"C1 unresolved verdict remains historical; C2 supplies informal candidate, formal gate remains."
C1-SYNTHESIS:12:C1-F2-NEGATIVE-BOUNDED-SEARCH,1,C1-F2-NEGATIVE-BOUNDED-SEARCH,proposed_retained_narrowed,The seeded 4560-tree sample has 3840 eligible rows and no positive complete sum; T_m for m=1..60 has 59 eligible negative rows; orders 2..7 have no eligible tree.,Exact stated sample and first 60 family rows only; K1 checked separately.,finite_evidence,,NO_EXACT_KEY,source_grade_preserved_no_new_award,bounded_computation_as_reported,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/12,"The claim covers m=1..60, not later source rows; source n=1 row constructed K2, and K1 is separately ineligible."
C1-SYNTHESIS:13:C1-F2-RESIDUAL-SCOPE-GAP,1,C1-F2-RESIDUAL-SCOPE-GAP,proposed_retained_narrowed,"The pinned ten-vertex JSON graph is eligible at alpha=7, x=3, p=5, non-residual, with all six tags favorable and S=-72.","One corrected graph, not the different residual graph printed in F2 prose.",finite_evidence,,NO_EXACT_KEY,source_grade_preserved_no_new_award,bounded_computation_as_reported,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/13,Use pinned non-residual JSON graph S=-72; different prose graph is residual.
C1-SYNTHESIS:14:C1-F3-01,1,C1-F3-01,proposed_retained,"T22, T60 and T100 are eligible and have respective complete sums -147807, -2947590 and -13588650.",Exactly three finite family instances.,finite_evidence,,NO_EXACT_KEY,source_grade_preserved_no_new_award,bounded_computation_as_reported,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/14,
C1-SYNTHESIS:15:C1-F3-02,1,C1-F3-02,proposed_retained_narrowed,"The seed-9932401 sequence of 1500 Prüfer trees has 1466 eligible rows, maximum complete sum -210 and maximum selected term 0.","Exactly the specified deterministic pseudorandom sequence, not a probability or census statement.",finite_evidence,,NO_EXACT_KEY,source_grade_preserved_no_new_award,bounded_computation_as_reported,cycles/cycle-1/C1-SYNTHESIS/RETURN.json,/claims/15,
