id,status,evidence_grade,formal_award,canonical_statement,canonical_scope,surviving_premises_json,evidence_refs_json,source_occurrence_count
E993-UNIV-TREE-TRS2,REFUTED,,False,Every finite tree has a TRS2 independence sequence,all finite trees; universal,[],[],0
E993-TREE-REAL-ROOTED,REFUTED,,False,Every finite tree has a real-rooted independence polynomial,all finite trees; universal,[],[],0
E993-EXISTS-TREE-NEG-ADJ-MINOR,VERIFIED,,False,Some finite tree has a negative total adjacent minor,existential; exact finite witness,[],[],0
E993-TRS2-IFF-ALC,VERIFIED,,False,TRS2 is equivalent to adjacent log-concavity on nonzero positive-interval-support sequences,abstract NNSeq with positive interval support; governed Lean theorem trs2_iff_adjacentLogConcave (r8),[],[],0
E993-TRS2-CONVOLUTION-CLOSURE,VERIFIED,,False,TRS2 is closed under finite convolution,abstract NNSeq; governed Lean theorem (r8),[],[],0
E993-TGT-TREE,OPEN,,False,Every finite tree has a weakly unimodal independence sequence,all finite nonempty trees; the conjecture's TREE headline,[],[],0
E993-TGT-FOREST,OPEN,,False,Every finite forest has a weakly unimodal independence sequence,all finite forests including the empty forest; the conjecture's FOREST headline,[],[],2
E993-TGT-TRANSFER,OPEN,,False,A convolution-stable class strictly between log-concavity and unimodality containing all tree independence sequences,the reshaped transfer question; universal,[],[],0
E993-EXISTS-COUNTEREXAMPLE,OPEN,,False,There exists a finite tree or forest with a non-unimodal independence sequence,existence; any order,[],[],0
E993-THEOREM-A,OPEN,,False,"For every tree T, support-bearing s, p >= x(T)+1: PFavorableAt(p,s) implies a_p(s) < 0",universal; THEOREM (A) of the corridor program,[],[],0
E993-THEOREM-B,OPEN,,False,For every tree T and leaf v: x(T−v) >= x(T)−1,universal; leaf crossing-shift,[],[],0
E993-ALPHA-TARGET,OPEN,,False,"For leaf v with support s, p with k_A = 1 and a_v(p) < 0: a_v(p) + (b_v(p) − Bgen_s(p−1)) < 0",universal at k_A = 1; (α),[],[],0
E993-BETA-TARGET,REFUTED,,False,"For leaf v with support s, p with k_A >= 2 and a_v(p) < 0: b_v(p) <= Bgen_s(p−1)",universal at k_A >= 2; (β),[],[],0
E993-AMBIENT-TARGET-DEG2,OPEN,,False,"AmbientTargetDeg2: D := Delta_{p−2}(U) <= H−1 on every hypothesis instance (deg(s)=2, U = T∖N[v]∖N[g], p = x(T)+1)",universal on the deg(s)=2 stratum; equivalent to (α) there via the governed r12 reduction,[],[],0
E993-C13-I4-GT-I3,VERIFIED,,False,Every finite tree of order >= 12 has i_4 > i_3,universal for order >= 12,[],[],0
E993-COMP-AB,VERIFIED,,False,IF AlphaTarget AND BetaTarget THEN THEOREM (A) holds in full,a governed implication; neither hypothesis asserted,[],[],0
E993-TRANSFER-TO-FOREST,CONDITIONAL,,False,IF every component tree of forest F is TRS2 THEN F's independence sequence is TRS2,conditional; the universal antecedent is REFUTED (E993-UNIV-TREE-TRS2),[],[],0
E993-P1-NNSEQ,VERIFIED,,False,The convolution of a nonzero Toeplitz2 sequence with a weakly unimodal nonnegative finitely-supported sequence is weakly unimodal,abstract NNSeq scope,[],[],0
E993-BAND-THEOREM,VERIFIED,,False,2 <= p and |U| <= 2p−3 implies D <= 0 (no stratum condition),universal on the band; premise-free,[],[],0
E993-STRICT-UNITS,OPEN,,False,D_p(T) > 0 and D_q(T) < 0 for every minimum first-recovery tree,"universal; OB-G1/OB-G2, the S3 endpoint units",[],[],0
E993-PAIR-G4,OPEN,,False,Q > 0 for every minimum first-recovery tree (a common leaf with a_p(v) < 0 < a_q(v)),"universal; OB-PAIR-G4/OB-G3, the decisive S4 gap",[],[],0
