id,status,evidence_grade,formal_award,canonical_statement,canonical_scope,surviving_premises_json,evidence_refs_json,source_occurrence_count,work_authority,next_action
E993-TGT-TREE,OPEN,,False,Every finite tree has a weakly unimodal independence sequence,all finite nonempty trees; the conjecture's TREE headline,[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-TGT-FOREST,OPEN,,False,Every finite forest has a weakly unimodal independence sequence,all finite forests including the empty forest; the conjecture's FOREST headline,[],[],2,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-TGT-TRANSFER,OPEN,,False,A convolution-stable class strictly between log-concavity and unimodality containing all tree independence sequences,the reshaped transfer question; universal,[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-EXISTS-COUNTEREXAMPLE,OPEN,,False,There exists a finite tree or forest with a non-unimodal independence sequence,existence; any order,[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-THEOREM-A,OPEN,,False,"For every tree T, support-bearing s, p >= x(T)+1: PFavorableAt(p,s) implies a_p(s) < 0",universal; THEOREM (A) of the corridor program,[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-THEOREM-B,OPEN,,False,For every tree T and leaf v: x(T−v) >= x(T)−1,universal; leaf crossing-shift,[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-ALPHA-TARGET,OPEN,,False,"For leaf v with support s, p with k_A = 1 and a_v(p) < 0: a_v(p) + (b_v(p) − Bgen_s(p−1)) < 0",universal at k_A = 1; (α),[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-AMBIENT-TARGET-DEG2,OPEN,,False,"AmbientTargetDeg2: D := Delta_{p−2}(U) <= H−1 on every hypothesis instance (deg(s)=2, U = T∖N[v]∖N[g], p = x(T)+1)",universal on the deg(s)=2 stratum; equivalent to (α) there via the governed r12 reduction,[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-TRANSFER-TO-FOREST,CONDITIONAL,,False,IF every component tree of forest F is TRS2 THEN F's independence sequence is TRS2,conditional; the universal antecedent is REFUTED (E993-UNIV-TREE-TRS2),[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
E993-STRICT-UNITS,OPEN,,False,D_p(T) > 0 and D_q(T) < 0 for every minimum first-recovery tree,"universal; OB-G1/OB-G2, the S3 endpoint units",[],[],0,REQUIRES NEW AUTHORIZATION,"Preserve the exact registered statement, scope and premises. See CONTINUATION-HANDOFF.md for research priorities; inherited program obligations are not automatically assigned to a new experiment."
