id,location,statement,type,depends_on,method,severity,verdict,evidence,critic,notes
H01,brief/source pins,All 20 allowed sources match their SHA-256 pins,provenance,,SHA-256 recomputation,high,PASS,HASHES.json,independent repeat agrees,Source identity only; no Lean build
G01,PROOF.md §1,First-mark partition q_j=sum_i i_(j-1)(J_i),bijection,,set partition,high,PASS,REPORT.md §1,unique first mark checked,All marks ordered with a nonisolated one first
G02,PROOF.md §1,Every first-mark deletion removes at least two vertices,cardinality,G01,case split i=1/i>1,high,PASS,REPORT.md §1,isolated later mark checked,Earlier mark is distinct; nonisolated first mark has neighbor
G03,PROOF.md §1,For |J_i|<=2k-1 the unmarked k-shadow is at most rank k-1,double counting,G02,incidence count,high,PASS,REPORT.md §1,empty and out-of-range strata checked,k i_k <= (|J|-k+1)i_(k-1) <= k i_(k-1)
G04,PROOF.md §1,For |J_i|=2k cover>=3 forces at least two edges and exact first-wide sign applies,source-dependent lemma,G02,cover contradiction plus pinned theorem,high,PASS,G1FirstWideMain.lean:2513; REPORT.md §1,rank r=k-1>=1 and order 2r+2 checked,Pinned prior formal dependency; not rebuilt
G05,PROOF.md §1,Marked shadow q_(k+1)<=q_k,lemma,G01 G03 G04,sum fibre inequalities,high,PASS,REPORT.md §1; INDEPENDENT-CHECK.json,all six-vertex marked cases corroborate,Universal proof uses G01-G04; computation bounded
C01,PROOF.md §2,Cover<=3 extends to size3 and gives exact independent-set decomposition,decomposition,,cover extension and partition,high,PASS,REPORT.md §2,N=n-3 and b_X checked,Outside of a vertex cover is independent
C02,PROOF.md §2,Binomial difference has Catalan floor including j=-1 and j<=-2,arithmetic lemma,,Pascal and sign intervals,high,PASS,REPORT.md §2,initial zero interval and endpoint checked,Independent derivation; registered floor is informal auxiliary
C03,PROOF.md §2,Cover-three lower bound is strictly positive for every 0<=r<=p-2,arithmetic inference,C01 C02,monotonicity and Catalan ratios,high,PASS,REPORT.md §2; INDEPENDENT-CHECK.json,r=0/1 and all r>=2 separately checked,Finite r<=500 check is corroboration only
C04,PROOF.md §2,x+2<=p implies tau(T)>=4 on shell,contradiction,C03,all-rank strict positivity,high,PASS,REPORT.md §2,single-rank shortcut rejected,x>=p-1 if tau<=3
L01,PROOF.md §3,Leaf exchange alpha(H)=alpha(T)-1 and tau(H)=tau(T)-1,graph identity,C04,two-way independent extension,high,PASS,REPORT.md §3,K2/empty-H endpoint considered,"H=T-{v,s}"
L02,PROOF.md §3,Every H component has marked root and a nonisolated mark exists,connectivity inference,L01,path-to-support argument,high,PASS,REPORT.md §3,empty W/all isolates ruled out by tau(H)>=3,Uniqueness uses acyclicity; only existence needed
L03,PROOF.md §3,Pointwise shell term<=0 and exact registered selected aggregate<=0,consequence,G05 L01 L02,q_j=i_j(H)-i_j(H-W); sum exact selector,high,PASS,REPORT.md §3,p>=3 and empty selector checked,Proposed informal scope only; no new award
