obligation_id,claim,status,provenance
E993-T05,The all-graph edge-subdivision independence-polynomial identity holds. TREE,formally_verified,erdos-993-six-cycle-math-dre-2026-08-25/TERMINAL-LEDGER.csv
E993-T06,Leaf-fan identity LF2 holds. TREE,formally_verified,erdos-993-six-cycle-math-dre-2026-08-25/TERMINAL-LEDGER.csv
E993-T07,Leaf-fan identity LF1 with coefficientwise natural truncated subtraction holds. TREE,formally_verified,erdos-993-six-cycle-math-dre-2026-08-25/TERMINAL-LEDGER.csv
E993-T08,Leaf-fan alpha equality and strict terminal coefficient band hold for r>=2. TREE,formally_verified,erdos-993-six-cycle-math-dre-2026-08-25/TERMINAL-LEDGER.csv
E993-T15,Branch-ratio monotonicity is preserved under the proposed rooted composition. TREE,refuted_mechanism,erdos-993-six-cycle-math-dre-2026-08-25/TERMINAL-LEDGER.csv
E993-T16,Fixed-anchor terminal-sign transport survives path substitution. TREE,refuted_mechanism,erdos-993-six-cycle-math-dre-2026-08-25/TERMINAL-LEDGER.csv
E993-T17,Excluded-state alpha dominance supplies the proposed endpoint invariant. TREE,refuted_mechanism,erdos-993-six-cycle-math-dre-2026-08-25/TERMINAL-LEDGER.csv
E993-T18,The uniform weighted RSV invariant holds for every rational lambda>=1. TREE,refuted_mechanism,erdos-993-six-cycle-math-dre-2026-08-25/TERMINAL-LEDGER.csv
E993-T19,Universal tree-vector log-concavity can supply TRANSFER. TRANSFER,refuted_mechanism,erdos-993-six-cycle-math-dre-2026-08-25/TERMINAL-LEDGER.csv
E993-T20,TDLC1 contains every tree independence vector. TRANSFER,refuted_mechanism,erdos-993-six-cycle-math-dre-2026-08-25/TERMINAL-LEDGER.csv
LEAN-P1,I(subdivideEdge G e) = I(G) + X*I(contractEdge G e) ALL,formally_verified,erdos-993-2026-08-26-continuation/TERMINAL-LEDGER.csv
LEAN-P2,"LF2: I(leafFan G e r) = (1+X)^r I(G−u) + X I(G−{u,v}) ALL",formally_verified,erdos-993-2026-08-26-continuation/TERMINAL-LEDGER.csv
LEAN-P3,LF1 with coeffwise Nat truncated subtraction ALL,formally_verified,erdos-993-2026-08-26-continuation/TERMINAL-LEDGER.csv
LEAN-P4,"Leaf-fan strict terminal band: alpha(H)=beta+r and i_{k+1}<i_k on [beta+floor(r/2), beta+r−1] TREE",formally_verified,erdos-993-2026-08-26-continuation/TERMINAL-LEDGER.csv
LEAN-C1,lc_conv_wu: positive interval-support log-concave a convolved with weakly unimodal b is weakly unimodal ALL,formally_verified,erdos-993-2026-08-26-continuation/TERMINAL-LEDGER.csv
LEAN-C2A,cbg_conv_closed: (k+1)a_{k+1} <= 2(p−k)a_k is closed under discrete convolution ALL,formally_verified,erdos-993-2026-08-26-continuation/TERMINAL-LEDGER.csv
