id,location,statement,type,depends_on,method,severity,verdict,evidence,critic,notes
A01,control/C2-PREP-ORBIT-AUDIT.json,All listed source hashes match,provenance,,SHA-256 recomputation,high,VERIFIED,independent-evidence.json,pass,29 of 29; brief read first
A02,control/C2-GLOBAL-WEIGHT-COORDINATES.md,Fixed-selector weighted identity,algebra,,explicit bijection,high,VERIFIED,REPORT.md,pass,No rank-dependent re-selection
A03,inputs/ordinary_tree_checked.py:t_family,T_m graph and independence polynomial,model,,edge and polynomial reconstruction,high,VERIFIED,audit.py;independent-evidence.json,pass,Three exact graphs
A04,instruments/orbit-flow/FULL-POLYNOMIALS.json,All original-leaf vectors and strict selectors,finite computation,A03,closed-form polynomial comparison,high,VERIFIED_BOUNDED,independent-evidence.json,pass,All leaves selected in each case
A05,instruments/orbit-flow/PROTOCOL.md,"Orbit sizes, weights and full adjacency",finite computation,A03;A04,combinatorial enumeration and literal small-graph smoke,high,VERIFIED_BOUNDED,independent-evidence.json,pass,m=1..3 literal enumeration; all three production layers
A06,instruments/orbit-flow/m22-p34.json; m60-p90.json; m66-p98.json,Every saved deletion primal and exact deficient cut,finite certificate,A05,all-arc conservation capacity and cut check,high,VERIFIED_BOUNDED,independent-evidence.json,pass,Exact quotient max flows certified
A07,instruments/orbit-flow-twoforone/run.py,Two-for-one graph rule including root and support,move lemma,A03,vertex-type derivation and literal enumeration,high,VERIFIED,REPORT.md;independent-evidence.json,pass,Only exactly two occupied neighbors
A08,instruments/orbit-flow-twoforone/m22-p34.json; m60-p90.json; m66-p98.json,Every saved switch primal saturates upper supply,finite certificate,A05;A07,all-arc conservation and capacity check,high,VERIFIED_BOUNDED,independent-evidence.json,pass,No new max-flow solve
A09,instruments/orbit-flow/CONTROLLER-INTERPRETATION.md,Center-free polynomial and T22 deficit,algebra,A02;A03;A04,independent generating function and binomial identity,high,VERIFIED,REPORT.md;independent-evidence.json,pass,Matches prior r23 numbers
A10,control/C2-REGISTERED-CLAIM-IDENTITY.json,T22 center-free obstruction is already registered as r23 refutation,status reconciliation,A09,claim-key inspection,high,VERIFIED_PRIOR_STATUS,REPORT.md,pass,No new refutation
A11,instruments/orbit-flow/CONTROLLER-INTERPRETATION.md,Quotient flow lifts to actual weighted sets,mathematical inference,A05;A06;A07;A08,biregularity and integral-flow proof,high,VERIFIED_FOR_BOUNDED_NETWORKS,REPORT.md,pass,No universal graph claim
A12,control/C2-REGISTERED-CLAIM-IDENTITY.json,Whole historical tagged relation equals anonymous weighted relation,relation identity,A02;A10,source and edge-scope review,high,UNSUPPORTED_GAP,ESCALATIONS.md,pass,Not claimed
A13,control/C2-REGISTERED-CLAIM-IDENTITY.json,Universal ordinary lower-region aggregate sign,universal claim,A02;A04,bounded controls only,high,OPEN_UNPROVED,ESCALATIONS.md,pass,All three aggregates negative; no universal proof
