cycle,row_id,claim,tier,scope,disposition,provenance,verification_level,dedup_canonical_of,cites_canonical,supersession_chain,correction_note
C1,R23-C1-BRIDGE1,|C_r(v)| = i_r(H_v) - i_r(H_v - W_v) via the explicit avoidance bijection,proved_informal,"every finite simple graph, every adjacent pair (v,s_v), W_v=N(s_v)\{v}, every r>=0 (BROADENED beyond the contract)",(no controlled disposition field in this cycle's schema; see provenance),T5 F1; ADJ-T T5.2; SYN L-01,"unclassified (disclosed: heuristic tier mapping, structural/proved_informal claim)",,,,
C1,R23-C1-BRIDGE2,"|P| - |N| = S(T,p) on every governed tuple; F empty => S=0",proved_informal,"governed tuples (T,p,F_p(T)), tag-disjoint corollary of BRIDGE1 at r=p and r=p-1",(no controlled disposition field in this cycle's schema; see provenance),T5 F2; ADJ-T T5.3; SYN L-02,"unclassified (disclosed: heuristic tier mapping, structural/proved_informal claim)",,,,
C1,R23-C1-RETAG-DOMAIN,"Lemma L1: A independent, w in A, {w,s_w} in E(T) => s_w notin A; hence Dom(Retag) exact and the two r19 readings extensionally identical - reading question CLOSED",proved_informal,"all trees/forests, all ranks; no instance can distinguish the readings",(no controlled disposition field in this cycle's schema; see provenance),T5 L1; F2 concurring; ADJ-T D-1; ADJ-U D1; CRIT-9 Prop A,"unclassified (disclosed: heuristic tier mapping, structural/proved_informal claim)",,,,
C1,R23-C1-DELETE-DOMAIN,Delete(q) fails activity iff A intersect W_v = {q}; Dom(Delete) exact,proved_informal,as BRIDGE1 scope,"(extracted, best-effort, from provenance prose: rejected)","T5; ADJ-T (T5 closing notation rejected, content retained); SYN L-05","unclassified (disclosed: heuristic tier mapping, structural/proved_informal claim)",,,,
C1,R23-C1-SIMPLE,"(P,N,Delete union Retag) is a plain bipartite graph - no multi-edges, every governed tuple",proved_informal,every governed tuple,(no controlled disposition field in this cycle's schema; see provenance),U1 F2; CRIT-9 Prop B; ADJ-U D2; SYN L-06,"unclassified (disclosed: heuristic tier mapping, structural/proved_informal claim)",,,,
C1,R23-C1-COMPENSATION,"|Gamma(X)| = Sum|Delete-img| + Sum|Retag-img| - C(X) with C(X) the CROSS-FAMILY collision count; A(X)>=C(X) iff Hall on X; U4 sec6 form and CRIT-6 primary repair both REFUTED (336/8681 governed rows, witness K_{1,6}+pendant n=8 p=5)",proved_informal,"every governed tuple, every X subset P; registrar-verified 203 rows pre-registration",(no controlled disposition field in this cycle's schema; see provenance),CRIT-6 U4-1; ADJ-U 3.3; SYN L-08/RC-07; control/c1-registrar-verification-receipt.json,receipt,,,,
C1,R23-C1-OPENFACE-ZERO,"Open face 2p<n: deficiency 0 on all 2537 computed rows (exhaustive trees to order 16, paths to n=100); 5 rows scale-limited (S negative, deficiency uncomputed); all computed open-face rows have P nonempty",computation,"exact tested scope only; bounded zero, evidence of nothing",(no controlled disposition field in this cycle's schema; see provenance),F1 (Finding 2 as REPAIRED by ADJ-F R-2); F3; CRIT-4,exact computation,,,,
C1,R23-C1-DELETE-ONLY-OPEN,NO Delete-only Hall failure exists at any searched scope incl. the open face - contrary to the charge's expectation; r19 Thm 3.1 independently proof-read VALID and its inequality (3.1) is per-rank universal,computation,exhaustive to order 16 + structured families; the universal Delete-only question is OPEN,(no controlled disposition field in this cycle's schema; see provenance),F3; ADJ-F; SYN,exact computation,,,,
C1,R23-C1-R22-P0-CONTRA,"r22 pair-overlap capacity route P0 (K_pair<=A) CONTRADICTED at S=P on four actual-tree star rows (504>448, 5040>3000, 39600>17820, 270270>98098); refutes that capacity route only - never Hall, never O14",computation,the four exact rows; mechanism-route tier,(no controlled disposition field in this cycle's schema; see provenance),F6 sealed data; CRIT-8 F6-2; ADJ-F D-6; SYN RC-10,exact computation,,,,
C1,R23-C1-ELIGIBILITY-HAZARD,"Eligibility-blind evaluation manufactures false positives: S=+16 on a real tree at p=2<x+2 and S=+49 on a forest below floor, BRIDGE-2 still holding - standing hazard notice",computation,exact instances; hazard notice,(no controlled disposition field in this cycle's schema; see provenance),F2 F4; ADJ-F; SYN RC-09,exact computation,,,,
