claim_id,status,registered_statement,registered_scope,evidence_grade
E993-UNIV-TREE-TRS2,REFUTED,Every finite tree has a TRS2 independence sequence,all finite trees; universal,see_certificate
E993-TREE-REAL-ROOTED,REFUTED,Every finite tree has a real-rooted independence polynomial,all finite trees; universal,see_certificate
E993-EXISTS-TREE-NEG-ADJ-MINOR,VERIFIED,Some finite tree has a negative total adjacent minor,existential; exact finite witness,see_certificate
E993-TRS2-IFF-ALC,VERIFIED,TRS2 is equivalent to adjacent log-concavity on nonzero positive-interval-support sequences,abstract NNSeq with positive interval support; governed Lean theorem trs2_iff_adjacentLogConcave (r8),see_certificate
E993-TRS2-CONVOLUTION-CLOSURE,VERIFIED,TRS2 is closed under finite convolution,abstract NNSeq; governed Lean theorem (r8),see_certificate
E993-TGT-TREE,OPEN,Every finite tree has a weakly unimodal independence sequence,all finite nonempty trees; the conjecture's TREE headline,see_certificate
E993-TGT-FOREST,OPEN,Every finite forest has a weakly unimodal independence sequence,all finite forests including the empty forest; the conjecture's FOREST headline,see_certificate
E993-TGT-TRANSFER,OPEN,A convolution-stable class strictly between log-concavity and unimodality containing all tree independence sequences,the reshaped transfer question; universal,see_certificate
E993-EXISTS-COUNTEREXAMPLE,OPEN,There exists a finite tree or forest with a non-unimodal independence sequence,existence; any order,see_certificate
E993-THEOREM-A,OPEN,"For every tree T, support-bearing s, p >= x(T)+1: PFavorableAt(p,s) implies a_p(s) < 0",universal; THEOREM (A) of the corridor program,see_certificate
E993-THEOREM-B,OPEN,For every tree T and leaf v: x(T−v) >= x(T)−1,universal; leaf crossing-shift,see_certificate
E993-ALPHA-TARGET,OPEN,"For leaf v with support s, p with k_A = 1 and a_v(p) < 0: a_v(p) + (b_v(p) − Bgen_s(p−1)) < 0",universal at k_A = 1; (α),see_certificate
E993-BETA-TARGET,REFUTED,"For leaf v with support s, p with k_A >= 2 and a_v(p) < 0: b_v(p) <= Bgen_s(p−1)","universal at k_A >= 2; (β) r29 Cycle 1 (2026-09-25) scope note: distinct from the r29 high-tail keys: the registered refutation witnesses fail 3p ≥ 2α + 1 (a theorem given E993-BIPARTITE-LEAF-HIGH-TAIL-POINTWISE, not a data check); E993-BIPARTITE-TAGGED-SHADOW-BOUND is a size-restricted incidence count whose constants k and 2(a − k) are incomparable with the refuted per-set bound. Status REFUTED unchanged.",see_certificate
E993-AMBIENT-TARGET-DEG2,OPEN,"AmbientTargetDeg2: D := Delta_{p−2}(U) <= H−1 on every hypothesis instance (deg(s)=2, U = T∖N[v]∖N[g], p = x(T)+1)",universal on the deg(s)=2 stratum; equivalent to (α) there via the governed r12 reduction,see_certificate
E993-C13-I4-GT-I3,VERIFIED,Every finite tree of order >= 12 has i_4 > i_3,universal for order >= 12,see_certificate
E993-COMP-AB,VERIFIED,IF AlphaTarget AND BetaTarget THEN THEOREM (A) holds in full,a governed implication; neither hypothesis asserted,see_certificate
E993-TRANSFER-TO-FOREST,CONDITIONAL,IF every component tree of forest F is TRS2 THEN F's independence sequence is TRS2,conditional; the universal antecedent is REFUTED (E993-UNIV-TREE-TRS2),see_certificate
E993-P1-NNSEQ,VERIFIED,The convolution of a nonzero Toeplitz2 sequence with a weakly unimodal nonnegative finitely-supported sequence is weakly unimodal,abstract NNSeq scope,see_certificate
E993-BAND-THEOREM,VERIFIED,2 <= p and |U| <= 2p−3 implies D <= 0 (no stratum condition),universal on the band; premise-free,see_certificate
E993-STRICT-UNITS,OPEN,D_p(T) > 0 and D_q(T) < 0 for every minimum first-recovery tree,"universal; OB-G1/OB-G2, the S3 endpoint units",see_certificate
E993-PAIR-G4,OPEN,Q > 0 for every minimum first-recovery tree (a common leaf with a_p(v) < 0 < a_q(v)),"universal; OB-PAIR-G4/OB-G3, the decisive S4 gap",see_certificate
E993-CAND-R18C1T1-3,OPEN,Candidate 3 / S-1: per-remnant band discharge on the branch-remnant expansion (*)/(**) — D>0 on G2∧|U|>=2p-2 is SUFFICIENTLY excluded (not equivalently) by the per-remnant discharge; classification MECHANISM-EQUIVALENT-TO-LAYER-4-AT-A-NEW-SITE,"G2 ∧ |U| >= 2p-2, deg(s)=2 stratum; fireability criterion deg_T(z_j) >= e+t+2-j attached; both named killers fire (92.0%/2.0%)",see_certificate
E993-CAND-R18C1T1-1,REFUTED,Candidate 1: the epsilon-discount bound (design-target inequality discounting the shadow bound by epsilon on G2),"as printed in R18C1-T1 §4; mechanism claim, never a target claim",see_certificate
E993-L0-CONV-DELTA,VERIFIED,"L0: Delta_r(f*g) = sum_i f_i * Delta_{r-i}(g) — convolution difference identity, premise-free","any nonnegative sequences f,g, any rank r; product-side; does not prove, approach, or narrow HG2",see_certificate
E993-PT-BOUND,VERIFIED,"P_t(r) := sum_i rho_{t,i} * max(Delta_{r-i}(U_t), 0) bounds Delta_r(U) — premise-free corollary of L0; registered in place of PSX-1 (whose weak-unimodality premise is decorative)","premise-free; beta_t = P_t in 12,806/12,806 premise-holding evaluations; dominated gap to D is unbounded (beta_t/D = p/2)",see_certificate
E993-CHOOSE-DELTA-POS,VERIFIED,choose_delta_pos_of_ge: Nat.choose strict-increase difference lemma (with choose_delta_nonpos_of_le its corollary under E993-BAND-THEOREM; boundary_2p_minus_2_gap and boundary_2p_minus_1_gap its d=0 and d=1 instantiations),Mathlib-tier arithmetic; NOT a fact about HG2,see_certificate
E993-BF-1,VERIFIED,"BF-1 (direction reversal): layer-4 shadow bound's exact reach is |U| <= 2p-3; at j=p-2, for |U| >= 2p-2 the factor |U|-p+2 exceeds p-1 and yields only D <= i_{p-1}(U)*(|U|-2p+3)/(|U|-p+2), growing with |U| and i_{p-1}(U), which the hypothesis does not bound","exact, not pessimism; witnessed (order-11 row i_{p-1}(U)=18)",see_certificate
