obligation_id,claim,status,provenance
R20-C1-WINDOW-THM,"E993-PAIR-WINDOW-THM: THE WINDOW THEOREM: for nonnegative zero-extended-unimodal f,g with h=f (+) shift(g) (the leaf-recursion sum), h is unimodal iff the window between the two modes is unimodal. General sum algebra, single recursion step only; no bearing on TREE/FOREST/TRANSFER/COUNTEREXAMPLE (mechanism tier).",verified,"r20 C1-GATE-RECORD Sec1; CLAIM-IDENTITY.json E993-PAIR-WINDOW-THM (VERIFIED, proved_informal, 4 independent proofs); Lean Tier A RG award, C2-GATE-RECORD Sec1 (nothing formally_verified per contract Sec8)"
R20-C1-PHISTAR,"E993-PAIR-PHISTAR: PHI-STAR soundness theorem: g nonneg zero-extended-unimodal, f0>=0, m any maximizer of f => h=f (+) shift(g) nondecreasing/nonincreasing pattern implies h unimodal. The CANDIDATE aspect lives entirely in PHISTAR-CLOSURE (still open, next row). Mechanism tier.",verified,"r20 C1-GATE-RECORD Sec1; Lean Tier B RG award at the repaired exact form only, C2-GATE-RECORD Sec1"
R20-C1-PHISTAR-CLOSURE,"E993-PAIR-PHISTAR-CLOSURE: THE CLOSURE OBLIGATION (SOLUTION-CONTRACT OB-R20-PHISTAR-CLOSURE, the run's own central open object from C1): for every finite forest F with an edge, EXISTS a leaf v such that i(F) is nondecreasing on [0,m-1] and nonincreasing on [m+1,infinity), m=mode(i(F-v)). Target-implying; UNPROVED AND UNREFUTED at the terminal close.",still_open,r20 C1-GATE-RECORD Sec1 (registered as the new central obligation); r20 C8-GATE-RECORD Sec0 (successor frame bears on the related universal form ALLLEAF-WINDOW); OPEN at registry pin 7a605065/79
R20-C1-MODE-GAP,"E993-PAIR-MODE-GAP: Measured conjecture (TREES only; forest face carries no registered bound): for every tree T and leaf v, |mode(i(T-v))-mode(i(T-N[v]))|<=1. MEASURED, NOT PROVED; may not be cited as progress on anything.",still_open,r20 C1-GATE-RECORD Sec1/RUL-R20-C1-6; scope narrowed to trees at r20 C2-GATE-RECORD Sec3
R20-C1-IMPLIES-TARGET,"E993-PAIR-C1-IMPLIES-TARGET: Implication of record: contract-C1 (delta_f<=1 over forest-leaf pairs) implies E993-TGT-FOREST hence E993-TGT-TREE; bridge fact x(T)=last_mode(i(T)). The IMPLICATION is proved_informal; its antecedent (delta_f<=1, universally) is OPEN and may not be cited as established.",verified,r20 C1-GATE-RECORD Sec1; ADJ-T ruling 6
R20-C2-ALLLEAF-WINDOW,"E993-PAIR-ALLLEAF-WINDOW: Universal (all-leaves) closure form: for every forest F with an edge and EVERY leaf v, last_mode(i(F))-1 <= mode_first(i(F-v)) <= mode_first(i(F))+1. MEASURED ONLY, exhaustive to order<=17 (294,178 forests, 2,337,444 leaf instances, 0 failures) + 25.4M constructed. At the C8 close reduced to excluding the single cell (delta_f,plateau_span)=(1,1), never observed in 47.7M objects. Implies PHISTAR-CLOSURE.",still_open,"r20 C2-GATE-RECORD Sec3; r20 C8-GATE-RECORD Sec0 (THE SUCCESSOR FRAME, CYCLE9-ALLOCATION rule 2)"
R20-C2-LEAFDRIFT-01,"E993-PAIR-LEAFDRIFT-01: Leaf-drift bound (one-sided): mode_first(i(F))-mode_first(i(F-v)) in {0,+1} for every forest F with an edge and every leaf v. MEASURED ONLY, 36.6M instances to order 26. One of the two coordinates of the (1,1)-cell successor-frame exclusion (delta_f).",still_open,r20 C2-GATE-RECORD Sec3; r20 C8-GATE-RECORD Sec0
R20-C2-MODE-NR,"E993-PAIR-MODE-NR: Theorem NR: nonneg zero-extended-unimodal f,g with mode(g)>=mode(f)-1 => mode(h)>=mode(f), h=f (+) shift(g). Reduction live for TREES only. Lean RG award (theorem_NR_as_registered).",verified,r20 C2-GATE-RECORD Sec3; r20 C5-GATE-RECORD Sec2
R20-C2-MODE-D1,"E993-PAIR-MODE-D1: Theorem D1: nonneg zero-extended-unimodal f,g with mode(g)<=mode(f) => mode(h)<=mode(f)+1. REDUCTION-REFUTED note on the face: hypothesis s>=0 is FALSE on the 669 realizable s=-1 pairs, so contributes nothing to delta_f<=1 on that stratum.",verified,r20 C2-GATE-RECORD Sec3
R20-C2-PLATEAU-LE1,"E993-PAIR-PLATEAU-LE1: Plateau bound: the maximum-level plateau of i(F) has length<=2, for every forest F. MEASURED ONLY, exhaustive orders<=17 + 25.4M constructed, 0 exceptions. The other coordinate of the (1,1)-cell successor-frame exclusion (plateau_span).",still_open,r20 C2-GATE-RECORD Sec3; r20 C8-GATE-RECORD Sec0
R20-C2-UNION-MODE,"E993-PAIR-UNION-MODE: Union-mode guardrail: component-mode additivity under disjoint union is FALSE and unboundedly so; exact single-family law mode_first((1+cx)^k)=ceil((ck-1)/(c+1)) for integer c>=1,k>=1, PROVED general-c (ratio test + Darroch pin).",verified,r20 C2-GATE-RECORD Sec3
R20-C2-ALPHA-SANDWICH,E993-PAIR-ALPHA-SANDWICH: Alpha sandwich for realizable pairs: alpha(i(F-N[v]))<=alpha(i(F-v))<=alpha(i(F-N[v]))+1. Load-bearing: kills the exhibited abstract-retreat witnesses.,verified,"r20 C2-GATE-RECORD Sec3 (proved at C1 stage-6, promoted at C2 close)"
R20-C3-R1,"E993-PAIR-R1: Theorem R1 (pure sum-algebra form): nonneg zero-extended-unimodal g,r with f=g (+) shift(r); if mode_first(g)=mode_first(f)+1 (s=-1) then mode_first(r)<=mode_first(f)-1. Proved via MODE-NR contrapositive, 0/10,023 realizable exceptions on three independent implementations.",verified,r20 C3-GATE-RECORD Sec2
R20-C3-R2-GAP,"E993-PAIR-R2-GAP: The proved gap characterization at s=-1 (iff-lemma, unconditional): delta_f<=1 iff h_{M+2}<=max(h_M,h_{M+1}); the gap equals R2 OR R2' EXACTLY. Whether R2-or-R2' holds on all realizable pairs is the OPEN remainder -- exactly what PHISTAR-CLOSURE needs at s=-1. Lean RG award (gap_iff_lemma).",verified,r20 C3-GATE-RECORD Sec2; r20 C4-GATE-RECORD Sec2
R20-C3-NETZERO,"E993-PAIR-NETZERO: Net-zero realizability chain: every known abstract overshoot witness (472 at the tested box) dies under the registered conditions, down to 0 survivors. A BOUNDED ZERO ON ITS FACE -- the tested abstract box only; never proof; growing the box remains the standing falsification target.",still_open,r20 C3-GATE-RECORD Sec2; r20 C4-GATE-RECORD Sec3 (merged certificate C1)
R20-C3-STAR-CLOSURE,"E993-PAIR-STAR-CLOSURE: Closure proved exactly for stars K_{1,m}, all m, mode floor(m/2) (m=1 exception), Catalan-slack identity for t>=3. Near-star (Broom(m,2)) peak-location premise later PROVED UNCONDITIONALLY on two independent routes (r20 C5); import discharged at r20 C6.",verified,r20 C3-GATE-RECORD Sec2; r20 C5-GATE-RECORD Sec3 C1; r20 C6 import-discharge
R20-C3-PATH-CLOSURE,"E993-PAIR-PATH-CLOSURE: Closure proved exactly for paths P_n, all n (infinite family) -- the run's strongest single family result, incl. path log-concavity via the elementary factorial identity.",verified,r20 C3-GATE-RECORD Sec2
R20-C3-ALPHA-FLOOR,"E993-PAIR-ALPHA-FLOOR: Alpha floor: for every forest F on n vertices, alpha(F)>=ceil(n/2) (bipartiteness). A statement about the independence number and vertex count, not about mode(i(F)) -- registered under the serendipity clause.",verified,r20 C3-GATE-RECORD Sec2
R20-C4-S-NEG1-WINDOW-REDUCTION,"E993-PAIR-S-NEG1-WINDOW-REDUCTION: The s=-1 window-step identity (N1): at s=-1 (motion cell (1,0)) the window comparison reduces to two exact identities. Corollaries are exactly the registered R2 and R2'.",verified,r20 C4-GATE-RECORD Sec3 N1
R20-C4-R-LE-G-POINTWISE,"E993-PAIR-R-LE-G-POINTWISE: Pointwise domination r<=g (N2): for any graph G with a leaf/support pair (v,u), i(G-N[v])<=i(G-{v}) coefficientwise, by induced-subgraph monotonicity. Net kills at the net-zero chain's terminus are ZERO -- the sign-and-domination route to R2 is proved insufficient.",verified,r20 C4-GATE-RECORD Sec3 N2
R20-C4-BRANCH-FACTORIZATION,"E993-PAIR-BRANCH-FACTORIZATION: Branch factorization, FOREST-REPAIRED FORM (N3; beta' clause corrected at r20 C6 after the originally-registered clause was found mathematically false, 2,040/3,061 failures). The i(F-C(u)) factor is MANDATORY; the 'any graph' form is REFUSED and false in substance.",verified,r20 C4-GATE-RECORD Sec3 N3; r20 C6-GATE-RECORD Sec0/X2 (correction of record)
R20-C4-SPIDER-CLOSED-FORM,"E993-PAIR-SPIDER-CLOSED-FORM: General spider closed form (N4): i(Spider(l_1..l_K)) = prod q_{l_i} + x * prod q_{l_i-1}. MANDATORY SCOPE LINE: the closed form is a PROOF; the closure bound for general spiders is NOT proved. The run's broadest family theorem; subsumes STAR-CLOSURE, PATH-CLOSURE, and Broom(m,l) at every (m,l).",verified,r20 C4-GATE-RECORD Sec3 N4
R20-C4-CATERPILLAR-TRANSFER,"E993-PAIR-CATERPILLAR-TRANSFER: General caterpillar transfer recursion (N5) along the spine, arbitrary tooth vector incl. interior zeros. MANDATORY SCOPE LINE: the recursion is a PROOF; no closure bound for general caterpillars is proved.",verified,r20 C4-GATE-RECORD Sec3 N5
R20-C4-RANK2-EXACT,"E993-PAIR-RANK2-EXACT: Rank-2 exactness (N6): g_2=C(g_1-1,2) exactly when the leaf-deleted object is CONNECTED (tree face); on the forest face only the inequality survives.",verified,r20 C4-GATE-RECORD Sec3 N6
R20-C4-RANK3-TREE-SANDWICH,"E993-PAIR-RANK3-TREE-SANDWICH: Rank-3 tree sandwich (N7): C(n,3)-(n-2)^2 <= i_3 <= tree maximum, TREE face only; corrected lower endpoint (the C4 route deliverable's printed endpoint was wrong by exactly 1, violated by the path).",verified,r20 C4-GATE-RECORD Sec3 N7
